Row	Gene ID	Gene Name	Score(d)	Numerator(r)	Denominator(s+s0)	Fold Change	q-value(%)
156	235	10572	10572	1.89073603417539	0.4804	0.254080945894448	1.39513042502004	2.05719511592269
157	1859	26137	26137	1.88337273828251	0.4	0.212384936804793	1.31950791077289	2.05719511592269
158	5782	9200	9200	1.88054970353468	0.6954	0.369785493408085	1.61933334539658	2.05719511592269
159	2574	387893	387893	1.8783038591072	0.4182	0.222647681828636	1.3362593104252	2.05719511592269
160	1592	23475	23475	1.87794155585206	0.439	0.23376659333832	1.3556643268	2.05719511592269
161	3918	56997	56997	1.87783517621731	0.4564	0.243045825203555	1.37211366654433	2.05719511592269
162	5803	92293	92293	1.86425337764666	0.7066	0.379025731412099	1.6319535559674	2.05719511592269
163	1037	170958	170958	1.86264962259533	0.6286	0.337476244793767	1.54606395553156	2.05719511592269
164	873	1487	1487	1.86139389071281	0.4404	0.236596886987391	1.35698051018114	2.05719511592269
165	1676	246721	246721	1.86060187594146	0.3594	0.193163300890549	1.28289224671476	2.05719511592269
166	2247	30000	30000	1.85747802884593	0.4964	0.267244076264212	1.41068903231798	2.05719511592269
167	2303	3131	3131	1.85693175386179	0.6586	0.35467108504679	1.57855004571655	2.05719511592269
168	5943	9554	9554	1.85548709236415	0.49	0.264081599929467	1.404444875738	2.05719511592269
169	2867	4685	4685	1.84102213879084	0.4778	0.259529741621582	1.39261840938185	2.05719511592269
170	3317	5252	5252	1.83933132809422	0.5482	0.298043094045489	1.46226014664932	2.05719511592269
171	5486	85287	85287	1.83841436006735	0.5068	0.275672346239415	1.42089505164748	2.05719511592269
172	591	1186	1186	1.83263328198841	0.3632	0.19818476700692	1.28627578675828	2.05719511592269
173	4348	641638	641638	1.83252006277538	0.6818	0.372055953901756	1.60413993627517	2.05719511592269
174	1763	25864	25864	1.83217306678024	0.4346	0.237204665803619	1.35153605571278	2.05719511592269
175	5768	91748	91748	1.83186518348977	0.6144	0.335395860752998	1.53092117246299	2.05719511592269
176	6082	9895	9895	1.82459841290457	0.4556	0.249698781264823	1.37135301608541	2.05719511592269
177	1422	23057	23057	1.81851031774574	0.4676	0.257133542458888	1.38280718029683	2.05719511592269
178	4112	58499	58499	1.81764579270673	0.5918	0.325585987310941	1.50712596305324	2.05719511592269
179	3809	55968	55968	1.81725828242458	0.4858	0.267325786707572	1.40036217601161	2.05719511592269
180	2078	284323	284323	1.81697389103151	0.431	0.237207591219331	1.34816773173706	2.05719511592269
181	2384	339448	339448	1.81652662923821	0.4038	0.222292364725389	1.32298802211137	2.05719511592269
182	2083	284805	284805	1.81112081641542	0.53	0.292636468642097	1.4439291955225	2.05719511592269
183	3137	51282	51282	1.81023605818954	0.481	0.265711202593688	1.39571076412217	2.05719511592269
184	2653	401019	401019	1.80828572267042	0.5354	0.296081528094652	1.44934394231961	2.05719511592269
185	4900	7709	7709	1.80815780091883	0.369	0.204075108827609	1.29145735030233	2.05719511592269
186	753	1368	1368	1.80589190285173	0.573	0.31729473901243	1.48761376243451	2.05719511592269
187	5822	9263	9263	1.80240200500898	0.6102	0.338548225259524	1.52647080808065	2.05719511592269
188	4189	6015	6015	1.79859317025455	0.438	0.243523664630624	1.35472497748537	2.05719511592269
189	2158	29087	29087	1.79641522690191	0.5642	0.314069927459375	1.47856739003039	2.05719511592269
190	2361	3316	3316	1.79542262462451	0.4254	0.236935857978824	1.34294479452647	3.16431343871294
191	2929	4828	4828	1.79433959276929	0.4094	0.228161938603915	1.32813334409185	3.16431343871294
192	2157	29085	29085	1.78756792407359	0.5934	0.331959413686353	1.50879834642734	3.16431343871294
193	615	121665	121665	1.78555030848909	0.3626	0.203074647785661	1.28574095092096	3.16431343871294
194	3364	5355	5355	1.77413149752104	0.4898	0.276078746521544	1.4042501918316	3.16431343871294
195	4662	6890	6890	1.77146346666618	0.3816	0.215415111392703	1.30278589033777	3.16431343871294
196	3402	5434	5434	1.76905303926554	0.4964	0.280602101227045	1.41068903231798	3.16431343871294
197	3718	5565	5565	1.76654728799895	0.4818	0.272735410635827	1.39648492513016	3.16431343871294
198	795	140823	140823	1.76450227427809	0.5978	0.338792422494654	1.51340697567084	3.16431343871294
199	1232	2152	2152	1.76214917921746	0.5826	0.330619000292995	1.49754566903554	3.16431343871294
200	5613	8864	8864	1.7588037604643	0.3824	0.217420503978825	1.30350850856498	3.16431343871294
201	548	1154	1154	1.75609332823468	0.5528	0.314789647629779	1.46692997039624	3.16431343871294
202	3522	5493	5493	1.75593602924098	0.5214	0.296935646468499	1.43534744225553	3.16431343871294
203	2819	4482	4482	1.75321706773549	0.3812	0.217428866633366	1.30242473146063	3.16431343871294
204	1152	200185	200185	1.7514398168281	0.6046	0.345201698734327	1.52055710684251	3.16431343871294
205	3948	5714	5714	1.74917344730871	0.5058	0.289165148703936	1.41991050350636	3.16431343871294
206	2139	28974	28974	1.74415735441219	0.547	0.313618492400503	1.46104437854568	3.16431343871294
207	5574	8751	8751	1.74374032361373	0.5166	0.296259708515197	1.43057982408307	3.16431343871294
208	4458	64839	64839	1.74013450798348	0.4906	0.281932228657728	1.40502908941692	3.16431343871294
209	4153	59286	59286	1.73883880085892	0.7234	0.416024762987039	1.65106852696806	3.16431343871294
210	996	1632	1632	1.73739221615695	0.3946	0.227122002925074	1.31457823119512	3.16431343871294
211	3643	55268	55268	1.73632090972373	0.37333333332	0.215014016838282	1.29534225187998	3.16431343871294
212	3458	54566	54566	1.73134256270494	0.4066	0.234846649506932	1.3255581865766	3.16431343871294
213	2850	4649	4649	1.72253238989538	0.642	0.372707069989549	1.56049096034741	3.16431343871294
214	881	149175	149175	1.72157896185386	0.4462	0.259180676510774	1.36244689679429	3.16431343871294
215	3629	5523	5523	1.72110687091006	0.3582	0.208121881362659	1.28182561060521	3.16431343871294
216	4240	6187	6187	1.71763562117747	0.3294	0.191775249615626	1.25649070604933	3.16431343871294
217	850	1466	1466	1.71627910091299	0.4808	0.280140916325459	1.39551729093681	3.16431343871294
218	4780	7263	7263	1.71342704997921	0.5276	0.307920900400401	1.4415291393047	3.16431343871294
219	5291	83752	83752	1.71337133520002	0.3788	0.221084590489999	1.3002598797597	3.16431343871294
220	3017	50861	50861	1.71185501798957	0.4796	0.28016391280802	1.39435701489818	3.16431343871294
221	3023	5092	5092	1.70931056660909	0.7312	0.427774808325525	1.66001928276658	3.16431343871294
222	4144	5912	5912	1.70778220536658	0.556	0.325568446756741	1.47018733638904	3.16431343871294
223	4972	7918	7918	1.70768779887352	0.365	0.213739303074468	1.28788162950983	3.16431343871294
224	3360	535	535	1.70721455583112	0.4284	0.250935067614535	1.34574027523243	3.16431343871294
225	3646	55275	55275	1.70311724127076	0.4066	0.238738702273145	1.3255581865766	3.16431343871294
226	4234	6165	6165	1.70132860668351	0.5844	0.343496252108053	1.49941527031583	3.16431343871294
227	2089	28511	28511	1.69804484205401	0.3648	0.214835315867587	1.28770310358051	3.16431343871294
228	3897	56941	56941	1.69416009007557	0.4168	0.246021614156551	1.33496322526842	3.16431343871294
229	706	131583	131583	1.69125029059076	0.4052	0.239586063786255	1.32427248081825	3.16431343871294
230	2919	4798	4798	1.68968739474459	0.4784	0.283129294500249	1.39319770354877	3.16431343871294
231	2625	3956	3956	1.68790352423531	0.5678	0.336393633787356	1.48226151048167	3.16431343871294
232	3912	56987	56987	1.68777969137488	0.509	0.301579644903397	1.4230634612346	3.16431343871294
233	2528	374920	374920	1.68730793020316	0.4734	0.280565267030422	1.38837760566567	3.16431343871294
234	6121	997	997	1.68500623205634	0.508	0.301482564476957	1.42207741058727	3.16431343871294
